Daily Details for US Cases, Mortaility and Rates
Day: 625 (10/7/21) Cases/today/Infection Rate: 44,225,912/101,523/0.23% - Mortality/Today/Rate: 708,954/2,483/1.60% 
Day: 626 (10/8/21) Cases/today/Infection Rate: 44,357,325/131,413/0.30% - Mortality/Today/Rate: 710,766/1,812/1.60% 
Day: 627 (10/9/21) Cases/today/Infection Rate: 44,396,152/38,827/0.09% - Mortality/Today/Rate: 711,202/436/1.60% 
Day: 628 (10/10/21) Cases/today/Infection Rate: 44,435,822/39,670/0.09% - Mortality/Today/Rate: 711,679/477/1.60% 
Day: 629 (10/11/21) Cases/today/Infection Rate: 44,531,883/96,061/0.22% - Mortality/Today/Rate: 712,862/1,183/1.60% 
Day: 630 (10/12/21) Cases/today/Infection Rate: 44,642,486/110,603/0.25% - Mortality/Today/Rate: 715,152/2,290/1.60% 
Day: 631 (10/13/21) Cases/today/Infection Rate: 44,750,948/108,462/0.24% - Mortality/Today/Rate: 718,363/3,211/1.61% 
Day: 632 (10/14/21) Cases/today/Infection Rate: 44,837,895/86,947/0.19% - Mortality/Today/Rate: 720,534/2,171/1.61% 
Day: 633 (10/15/21) Cases/today/Infection Rate: 44,947,374/109,479/0.24% - Mortality/Today/Rate: 722,348/1,814/1.61% 
Day: 634 (10/16/21) Cases/today/Infection Rate: 44,987,158/39,784/0.09% - Mortality/Today/Rate: 722,913/565/1.61% 
Day: 635 (10/17/21) Cases/today/Infection Rate: 45,018,816/31,658/0.07% - Mortality/Today/Rate: 723,375/462/1.61% 
Day: 636 (10/18/21) Cases/today/Infection Rate: 45,117,769/98,953/0.22% - Mortality/Today/Rate: 725,154/1,779/1.61% 
Day: 637 (10/19/21) Cases/today/Infection Rate: 45,199,687/81,918/0.18% - Mortality/Today/Rate: 727,113/1,959/1.61% 
Day: 638 (10/20/21) Cases/today/Infection Rate: 45,291,305/91,618/0.20% - Mortality/Today/Rate: 730,292/3,179/1.61% 
Day: 639 (10/21/21) Cases/today/Infection Rate: 45,369,385/78,080/0.17% - Mortality/Today/Rate: 732,299/2,007/1.61% 
Day: 640 (10/22/21) Cases/today/Infection Rate: 45,465,336/95,951/0.21% - Mortality/Today/Rate: 734,159/1,860/1.61% 
Day: 641 (10/23/21) Cases/today/Infection Rate: 45,497,757/32,421/0.07% - Mortality/Today/Rate: 734,708/549/1.61% 
Day: 642 (10/24/21) Cases/today/Infection Rate: 45,516,927/19,170/0.04% - Mortality/Today/Rate: 734,966/258/1.61% 
Day: 643 (10/25/21) Cases/today/Infection Rate: 45,629,496/112,569/0.25% - Mortality/Today/Rate: 736,443/1,477/1.61% 
Day: 644 (10/26/21) Cases/today/Infection Rate: 45,696,152/66,656/0.15% - Mortality/Today/Rate: 738,025/1,582/1.62% 
Day: 645 (10/27/21) Cases/today/Infection Rate: 45,798,714/102,562/0.22% - Mortality/Today/Rate: 740,084/2,059/1.62% 
Day: 646 (10/28/21) Cases/today/Infection Rate: 45,873,810/75,096/0.16% - Mortality/Today/Rate: 741,932/1,848/1.62% 
Day: 647 (10/29/21) Cases/today/Infection Rate: 45,968,914/95,104/0.21% - Mortality/Today/Rate: 743,652/1,720/1.62% 
Day: 648 (10/30/21) Cases/today/Infection Rate: 46,003,209/34,295/0.07% - Mortality/Today/Rate: 744,033/381/1.62% 
Day: 649 (10/31/21) Cases/today/Infection Rate: 46,035,532/32,323/0.07% - Mortality/Today/Rate: 744,267/234/1.62% 
Day: 650 (11/1/21) Cases/today/Infection Rate: 46,148,787/113,255/0.25% - Mortality/Today/Rate: 745,546/1,279/1.62% 
Day: 651 (11/2/21) Cases/today/Infection Rate: 46,217,534/68,747/0.15% - Mortality/Today/Rate: 746,829/1,283/1.62% 
Day: 652 (11/3/21) Cases/today/Infection Rate: 46,303,127/85,593/0.19% - Mortality/Today/Rate: 748,792/1,963/1.62% 
Day: 653 (11/4/21) Cases/today/Infection Rate: 46,384,563/81,436/0.18% - Mortality/Today/Rate: 750,008/1,216/1.62% 
Day: 654 (11/5/21) Cases/today/Infection Rate: 46,481,422/96,859/0.21% - Mortality/Today/Rate: 752,131/2,123/1.62% 
Day: 655 (11/6/21) Cases/today/Infection Rate: 46,516,283/34,861/0.07% - Mortality/Today/Rate: 752,604/473/1.62% 
Day: 656 (11/7/21) Cases/today/Infection Rate: 46,553,110/36,827/0.08% - Mortality/Today/Rate: 752,809/205/1.62% 
Day: 657 (11/8/21) Cases/today/Infection Rate: 46,663,859/110,749/0.24% - Mortality/Today/Rate: 754,066/1,257/1.62% 
Day: 658 (11/9/21) Cases/today/Infection Rate: 46,742,215/78,356/0.17% - Mortality/Today/Rate: 755,501/1,435/1.62% 
Day: 659 (11/10/21) Cases/today/Infection Rate: 46,837,285/95,070/0.20% - Mortality/Today/Rate: 757,185/1,684/1.62% 
Day: 660 (11/11/21) Cases/today/Infection Rate: 46,894,927/57,642/0.12% - Mortality/Today/Rate: 758,067/882/1.62% 
Day: 661 (11/12/21) Cases/today/Infection Rate: 47,038,438/143,511/0.31% - Mortality/Today/Rate: 760,521/2,454/1.62% 
Day: 662 (11/13/21) Cases/today/Infection Rate: 47,082,389/43,951/0.09% - Mortality/Today/Rate: 761,092/571/1.62% 
Day: 663 (11/14/21) Cases/today/Infection Rate: 47,114,301/31,912/0.07% - Mortality/Today/Rate: 761,293/201/1.62% 
Day: 664 (11/15/21) Cases/today/Infection Rate: 47,248,337/134,036/0.28% - Mortality/Today/Rate: 762,597/1,304/1.61% 
Day: 665 (11/16/21) Cases/today/Infection Rate: 47,335,607/87,270/0.18% - Mortality/Today/Rate: 763,931/1,334/1.61% 
Day: 666 (11/17/21) Cases/today/Infection Rate: 47,448,451/112,844/0.24% - Mortality/Today/Rate: 765,580/1,649/1.61% 
Day: 667 (11/18/21) Cases/today/Infection Rate: 47,558,277/109,826/0.23% - Mortality/Today/Rate: 766,937/1,357/1.61% 
Day: 668 (11/19/21) Cases/today/Infection Rate: 47,685,153/126,876/0.27% - Mortality/Today/Rate: 768,728/1,791/1.61% 
Day: 669 (11/20/21) Cases/today/Infection Rate: 47,730,513/45,360/0.10% - Mortality/Today/Rate: 769,185/457/1.61% 
Day: 670 (11/21/21) Cases/today/Infection Rate: 47,770,345/39,832/0.08% - Mortality/Today/Rate: 769,405/220/1.61% 
Day: 671 (11/22/21) Cases/today/Infection Rate: 47,914,961/144,616/0.30% - Mortality/Today/Rate: 770,673/1,268/1.61% 
Day: 672 (11/23/21) Cases/today/Infection Rate: 48,006,305/91,344/0.19% - Mortality/Today/Rate: 772,051/1,378/1.61% 
Day: 673 (11/24/21) Cases/today/Infection Rate: 48,117,883/111,578/0.23% - Mortality/Today/Rate: 773,763/1,712/1.61% 
Day: 674 (11/25/21) Cases/today/Infection Rate: 48,157,201/39,318/0.08% - Mortality/Today/Rate: 774,243/480/1.61% 
Day: 675 (11/26/21) Cases/today/Infection Rate: 48,210,621/53,420/0.11% - Mortality/Today/Rate: 774,615/372/1.61% 
Day: 676 (11/27/21) Cases/today/Infection Rate: 48,237,160/26,539/0.06% - Mortality/Today/Rate: 774,929/314/1.61% 
Day: 677 (11/28/21) Cases/today/Infection Rate: 48,280,309/43,149/0.09% - Mortality/Today/Rate: 775,176/247/1.61% 
Day: 678 (11/29/21) Cases/today/Infection Rate: 48,466,603/186,294/0.39% - Mortality/Today/Rate: 777,111/1,935/1.60% 
Day: 679 (11/30/21) Cases/today/Infection Rate: 48,583,712/117,109/0.24% - Mortality/Today/Rate: 778,763/1,652/1.60% 
Day: 680 (12/1/21) Cases/today/Infection Rate: 48,720,826/137,114/0.28% - Mortality/Today/Rate: 780,823/2,060/1.60% 
Day: 681 (12/2/21) Cases/today/Infection Rate: 48,859,679/138,853/0.28% - Mortality/Today/Rate: 784,732/3,909/1.61% 
Day: 682 (12/3/21) Cases/today/Infection Rate: 49,018,289/158,610/0.32% - Mortality/Today/Rate: 786,314/1,582/1.60% 
Day: 683 (12/4/21) Cases/today/Infection Rate: 49,084,631/66,342/0.14% - Mortality/Today/Rate: 786,995/681/1.60% 
Day: 684 (12/5/21) Cases/today/Infection Rate: 49,139,815/55,184/0.11% - Mortality/Today/Rate: 787,384/389/1.60% 
Day: 685 (12/6/21) Cases/today/Infection Rate: 49,317,501/177,686/0.36% - Mortality/Today/Rate: 788,800/1,416/1.60% 
Day: 686 (12/7/21) Cases/today/Infection Rate: 49,430,762/113,261/0.23% - Mortality/Today/Rate: 790,377/1,577/1.60% 
Day: 687 (12/8/21) Cases/today/Infection Rate: 49,580,670/149,908/0.30% - Mortality/Today/Rate: 792,203/1,826/1.60% 
Day: 688 (12/9/21) Cases/today/Infection Rate: 49,705,200/124,530/0.25% - Mortality/Today/Rate: 793,778/1,575/1.60% 
Day: 689 (12/10/21) Cases/today/Infection Rate: 49,863,412/158,212/0.32% - Mortality/Today/Rate: 795,582/1,804/1.60% 
Day: 690 (12/11/21) Cases/today/Infection Rate: 49,919,999/56,587/0.11% - Mortality/Today/Rate: 796,197/615/1.59% 
Day: 691 (12/12/21) Cases/today/Infection Rate: 49,972,308/52,309/0.10% - Mortality/Today/Rate: 796,551/354/1.59% 
Day: 692 (12/13/21) Cases/today/Infection Rate: 50,157,794/185,486/0.37% - Mortality/Today/Rate: 797,960/1,409/1.59% 
Day: 693 (12/14/21) Cases/today/Infection Rate: 50,270,614/112,820/0.22% - Mortality/Today/Rate: 799,516/1,556/1.59% 
Day: 694 (12/15/21) Cases/today/Infection Rate: 50,416,463/145,849/0.29% - Mortality/Today/Rate: 801,775/2,259/1.59% 
Day: 695 (12/16/21) Cases/today/Infection Rate: 50,558,193/141,730/0.28% - Mortality/Today/Rate: 803,081/1,306/1.59% 
Day: 696 (12/17/21) Cases/today/Infection Rate: 50,750,844/192,651/0.38% - Mortality/Today/Rate: 804,940/1,859/1.59% 
Day: 697 (12/18/21) Cases/today/Infection Rate: 50,830,602/79,758/0.16% - Mortality/Today/Rate: 805,601/661/1.58% 
Day: 698 (12/19/21) Cases/today/Infection Rate: 50,919,802/89,200/0.18% - Mortality/Today/Rate: 805,900/299/1.58% 
Day: 699 (12/20/21) Cases/today/Infection Rate: 51,159,843/240,041/0.47% - Mortality/Today/Rate: 807,482/1,582/1.58% 
Day: 700 (12/21/21) Cases/today/Infection Rate: 51,339,257/179,414/0.35% - Mortality/Today/Rate: 809,453/1,971/1.58% 
Day: 701 (12/22/21) Cases/today/Infection Rate: 51,583,000/243,743/0.47% - Mortality/Today/Rate: 813,652/4,199/1.58% 
Day: 702 (12/23/21) Cases/today/Infection Rate: 51,852,761/269,761/0.52% - Mortality/Today/Rate: 815,055/1,403/1.57% 
Day: 703 (12/24/21) Cases/today/Infection Rate: 52,101,283/248,522/0.48% - Mortality/Today/Rate: 815,762/707/1.57% 
Day: 704 (12/25/21) Cases/today/Infection Rate: 52,187,948/86,665/0.17% - Mortality/Today/Rate: 815,993/231/1.56% 
Day: 705 (12/26/21) Cases/today/Infection Rate: 52,366,337/178,389/0.34% - Mortality/Today/Rate: 816,342/349/1.56% 
Day: 706 (12/27/21) Cases/today/Infection Rate: 52,866,901/500,564/0.96% - Mortality/Today/Rate: 818,138/1,796/1.55% 
Day: 707 (12/28/21) Cases/today/Infection Rate: 53,228,932/362,031/0.68% - Mortality/Today/Rate: 820,484/2,346/1.54% 
Day: 708 (12/29/21) Cases/today/Infection Rate: 53,731,041/502,109/0.94% - Mortality/Today/Rate: 822,844/2,360/1.53% 
Day: 709 (12/30/21) Cases/today/Infection Rate: 54,321,740/590,699/1.10% - Mortality/Today/Rate: 824,340/1,496/1.52% 
Day: 710 (12/31/21) Cases/today/Infection Rate: 54,835,368/513,628/0.95% - Mortality/Today/Rate: 825,074/734/1.50% 
Day: 711 (1/1/22) Cases/today/Infection Rate: 55,024,140/188,772/0.34% - Mortality/Today/Rate: 825,466/392/1.50% 
Day: 712 (1/2/22) Cases/today/Infection Rate: 55,310,110/285,970/0.52% - Mortality/Today/Rate: 825,847/381/1.49% 
Day: 713 (1/3/22) Cases/today/Infection Rate: 56,355,084/1,044,974/1.89% - Mortality/Today/Rate: 827,690/1,843/1.47% 
Day: 714 (1/4/22) Cases/today/Infection Rate: 57,167,320/812,236/1.44% - Mortality/Today/Rate: 830,012/2,322/1.45% 
Day: 715 (1/5/22) Cases/today/Infection Rate: 57,829,956/662,636/1.16% - Mortality/Today/Rate: 832,211/2,199/1.44% 
Day: 716 (1/6/22) Cases/today/Infection Rate: 58,664,969/835,013/1.44% - Mortality/Today/Rate: 834,295/2,084/1.42% 
Day: 717 (1/7/22) Cases/today/Infection Rate: 59,534,724/869,755/1.48% - Mortality/Today/Rate: 836,704/2,409/1.41% 
Day: 718 (1/8/22) Cases/today/Infection Rate: 59,932,416/397,692/0.67% - Mortality/Today/Rate: 837,544/840/1.40% 
Day: 719 (1/9/22) Cases/today/Infection Rate: 60,417,447/485,031/0.81% - Mortality/Today/Rate: 838,133/589/1.39% 
Day: 720 (1/10/22) Cases/today/Infection Rate: 61,801,347/1,383,900/2.29% - Mortality/Today/Rate: 840,147/2,014/1.36% 
Day: 721 (1/11/22) Cases/today/Infection Rate: 62,588,733/787,386/1.27% - Mortality/Today/Rate: 842,664/2,517/1.35% 
Day: 722 (1/12/22) Cases/today/Infection Rate: 63,437,357/848,624/1.36% - Mortality/Today/Rate: 845,491/2,827/1.33% 
Day: 723 (1/13/22) Cases/today/Infection Rate: 64,298,689/861,332/1.36% - Mortality/Today/Rate: 848,022/2,531/1.32% 
Day: 724 (1/14/22) Cases/today/Infection Rate: 65,178,723/880,034/1.37% - Mortality/Today/Rate: 850,784/2,762/1.31% 
Day: 725 (1/15/22) Cases/today/Infection Rate: 65,587,031/408,308/0.63% - Mortality/Today/Rate: 851,781/997/1.30% 
Day: 726 (1/16/22) Cases/today/Infection Rate: 66,066,812/479,781/0.73% - Mortality/Today/Rate: 852,520/739/1.29% 
Day: 727 (1/17/22) Cases/today/Infection Rate: 66,741,937/675,125/1.02% - Mortality/Today/Rate: 853,544/1,024/1.28% 
Day: 728 (1/18/22) Cases/today/Infection Rate: 67,871,414/1,129,477/1.69% - Mortality/Today/Rate: 856,228/2,684/1.26% 
Day: 729 (1/19/22) Cases/today/Infection Rate: 68,779,540/908,126/1.34% - Mortality/Today/Rate: 859,733/3,505/1.25% 
Day: 730 (1/20/22) Cases/today/Infection Rate: 69,512,111/732,571/1.07% - Mortality/Today/Rate: 862,670/2,937/1.24% 
Day: 731 (1/21/22) Cases/today/Infection Rate: 70,353,169/841,058/1.21% - Mortality/Today/Rate: 866,056/3,386/1.23% 
Day: 732 (1/22/22) Cases/today/Infection Rate: 70,655,656/302,487/0.43% - Mortality/Today/Rate: 867,054/998/1.23% 
Day: 733 (1/23/22) Cases/today/Infection Rate: 71,021,100/365,444/0.52% - Mortality/Today/Rate: 867,763/709/1.22% 
Day: 734 (1/24/22) Cases/today/Infection Rate: 71,943,238/922,138/1.30% - Mortality/Today/Rate: 869,927/2,164/1.21% 
Day: 735 (1/25/22) Cases/today/Infection Rate: 72,436,314/493,076/0.69% - Mortality/Today/Rate: 873,143/3,216/1.21% 
Day: 736 (1/26/22) Cases/today/Infection Rate: 73,113,429/677,115/0.93% - Mortality/Today/Rate: 876,997/3,854/1.20% 
Day: 737 (1/27/22) Cases/today/Infection Rate: 73,620,615/507,186/0.69% - Mortality/Today/Rate: 879,631/2,634/1.19% 
Day: 738 (1/28/22) Cases/today/Infection Rate: 74,235,504/614,889/0.84% - Mortality/Today/Rate: 883,749/4,118/1.19% 
Day: 739 (1/29/22) Cases/today/Infection Rate: 74,414,116/178,612/0.24% - Mortality/Today/Rate: 884,934/1,185/1.19% 
Day: 740 (1/30/22) Cases/today/Infection Rate: 74,612,072/197,956/0.27% - Mortality/Today/Rate: 885,403/469/1.19% 
Day: 741 (1/31/22) Cases/today/Infection Rate: 75,155,562/543,490/0.73% - Mortality/Today/Rate: 888,026/2,623/1.18% 
Day: 742 (2/1/22) Cases/today/Infection Rate: 75,481,472/325,910/0.43% - Mortality/Today/Rate: 891,406/3,380/1.18% 
Day: 743 (2/2/22) Cases/today/Infection Rate: 75,811,600/330,128/0.44% - Mortality/Today/Rate: 894,998/3,592/1.18% 
Day: 744 (2/3/22) Cases/today/Infection Rate: 76,087,070/275,470/0.36% - Mortality/Today/Rate: 897,474/2,476/1.18% 
Day: 745 (2/4/22) Cases/today/Infection Rate: 76,443,015/355,945/0.47% - Mortality/Today/Rate: 901,577/4,103/1.18% 
Day: 746 (2/5/22) Cases/today/Infection Rate: 76,529,437/86,422/0.11% - Mortality/Today/Rate: 902,479/902/1.18% 
Day: 747 (2/6/22) Cases/today/Infection Rate: 76,612,911/83,474/0.11% - Mortality/Today/Rate: 902,937/458/1.18% 
Day: 748 (2/7/22) Cases/today/Infection Rate: 76,960,254/347,343/0.45% - Mortality/Today/Rate: 906,002/3,065/1.18% 
Day: 749 (2/8/22) Cases/today/Infection Rate: 77,174,911/214,657/0.28% - Mortality/Today/Rate: 909,000/2,998/1.18% 
Day: 750 (2/9/22) Cases/today/Infection Rate: 77,363,582/188,671/0.24% - Mortality/Today/Rate: 912,443/3,443/1.18% 
Day: 751 (2/10/22) Cases/today/Infection Rate: 77,535,345/171,763/0.22% - Mortality/Today/Rate: 915,724/3,281/1.18% 
Day: 752 (2/11/22) Cases/today/Infection Rate: 77,745,074/209,729/0.27% - Mortality/Today/Rate: 918,429/2,705/1.18% 
Day: 753 (2/12/22) Cases/today/Infection Rate: 77,796,939/51,865/0.07% - Mortality/Today/Rate: 919,244/815/1.18% 
Day: 754 (2/13/22) Cases/today/Infection Rate: 77,855,262/58,323/0.07% - Mortality/Today/Rate: 919,814/570/1.18% 
Day: 755 (2/14/22) Cases/today/Infection Rate: 78,025,852/170,590/0.22% - Mortality/Today/Rate: 923,016/3,202/1.18% 
Day: 756 (2/15/22) Cases/today/Infection Rate: 78,137,203/111,351/0.14% - Mortality/Today/Rate: 925,625/2,609/1.18% 
Day: 757 (2/16/22) Cases/today/Infection Rate: 78,252,198/114,995/0.15% - Mortality/Today/Rate: 928,811/3,186/1.19% 
Day: 758 (2/17/22) Cases/today/Infection Rate: 78,354,131/101,933/0.13% - Mortality/Today/Rate: 931,769/2,958/1.19% 
Day: 759 (2/18/22) Cases/today/Infection Rate: 78,499,450/145,319/0.19% - Mortality/Today/Rate: 934,272/2,503/1.19% 
Day: 760 (2/19/22) Cases/today/Infection Rate: 78,530,855/31,405/0.04% - Mortality/Today/Rate: 934,955/683/1.19% 
Day: 761 (2/20/22) Cases/today/Infection Rate: 78,553,858/23,003/0.03% - Mortality/Today/Rate: 935,392/437/1.19% 
Day: 762 (2/21/22) Cases/today/Infection Rate: 78,636,971/83,113/0.11% - Mortality/Today/Rate: 936,311/919/1.19% 
Day: 763 (2/22/22) Cases/today/Infection Rate: 78,726,501/89,530/0.11% - Mortality/Today/Rate: 938,483/2,172/1.19% 
Day: 764 (2/23/22) Cases/today/Infection Rate: 78,811,759/85,258/0.11% - Mortality/Today/Rate: 941,598/3,115/1.19% 
Day: 765 (2/24/22) Cases/today/Infection Rate: 78,878,932/67,173/0.09% - Mortality/Today/Rate: 944,567/2,969/1.20% 
Day: 766 (2/25/22) Cases/today/Infection Rate: 78,953,391/74,459/0.09% - Mortality/Today/Rate: 946,649/2,082/1.20% 
Day: 767 (2/26/22) Cases/today/Infection Rate: 79,000,802/47,411/0.06% - Mortality/Today/Rate: 947,408/759/1.20% 
Day: 768 (2/27/22) Cases/today/Infection Rate: 79,019,025/18,223/0.02% - Mortality/Today/Rate: 947,631/223/1.20% 
Day: 769 (2/28/22) Cases/today/Infection Rate: 79,117,942/98,917/0.13% - Mortality/Today/Rate: 949,783/2,152/1.20% 
Day: 770 (3/1/22) Cases/today/Infection Rate: 79,164,646/46,704/0.06% - Mortality/Today/Rate: 951,569/1,786/1.20% 
Day: 771 (3/2/22) Cases/today/Infection Rate: 79,218,242/53,596/0.07% - Mortality/Today/Rate: 953,663/2,094/1.20% 
Day: 772 (3/3/22) Cases/today/Infection Rate: 79,266,919/48,677/0.06% - Mortality/Today/Rate: 955,378/1,715/1.21% 
Day: 773 (3/4/22) Cases/today/Infection Rate: 79,318,236/51,317/0.06% - Mortality/Today/Rate: 957,113/1,735/1.21% 
Day: 774 (3/5/22) Cases/today/Infection Rate: 79,333,155/14,919/0.02% - Mortality/Today/Rate: 957,419/306/1.21% 
Day: 775 (3/6/22) Cases/today/Infection Rate: 79,345,552/12,397/0.02% - Mortality/Today/Rate: 957,631/212/1.21% 
Day: 776 (3/7/22) Cases/today/Infection Rate: 79,409,702/64,150/0.08% - Mortality/Today/Rate: 959,338/1,707/1.21% 
Day: 777 (3/8/22) Cases/today/Infection Rate: 79,439,510/29,808/0.04% - Mortality/Today/Rate: 960,756/1,418/1.21% 
Day: 778 (3/9/22) Cases/today/Infection Rate: 79,477,256/37,746/0.05% - Mortality/Today/Rate: 962,783/2,027/1.21% 
Day: 779 (3/10/22) Cases/today/Infection Rate: 79,523,871/46,615/0.06% - Mortality/Today/Rate: 964,557/1,774/1.21% 
Day: 780 (3/11/22) Cases/today/Infection Rate: 79,573,590/49,719/0.06% - Mortality/Today/Rate: 966,213/1,656/1.21% 
Day: 781 (3/12/22) Cases/today/Infection Rate: 79,583,808/10,218/0.01% - Mortality/Today/Rate: 966,488/275/1.21% 
Day: 782 (3/13/22) Cases/today/Infection Rate: 79,594,859/11,051/0.01% - Mortality/Today/Rate: 966,681/193/1.21% 
Day: 783 (3/14/22) Cases/today/Infection Rate: 79,630,291/35,432/0.04% - Mortality/Today/Rate: 968,007/1,326/1.22% 
Day: 784 (3/15/22) Cases/today/Infection Rate: 79,654,683/24,392/0.03% - Mortality/Today/Rate: 969,095/1,088/1.22% 
Day: 785 (3/16/22) Cases/today/Infection Rate: 79,700,834/46,151/0.06% - Mortality/Today/Rate: 970,944/1,849/1.22% 
Day: 786 (3/17/22) Cases/today/Infection Rate: 79,754,029/53,195/0.07% - Mortality/Today/Rate: 972,455/1,511/1.22% 
Day: 787 (3/18/22) Cases/today/Infection Rate: 79,785,412/31,383/0.04% - Mortality/Today/Rate: 973,269/814/1.22% 
Day: 788 (3/19/22) Cases/today/Infection Rate: 79,796,289/10,877/0.01% - Mortality/Today/Rate: 973,553/284/1.22% 
Day: 789 (3/20/22) Cases/today/Infection Rate: 79,807,738/11,449/0.01% - Mortality/Today/Rate: 973,639/86/1.22% 
Day: 790 (3/21/22) Cases/today/Infection Rate: 79,850,045/42,307/0.05% - Mortality/Today/Rate: 975,171/1,532/1.22% 
Day: 791 (3/22/22) Cases/today/Infection Rate: 79,874,623/24,578/0.03% - Mortality/Today/Rate: 975,737/566/1.22% 
Day: 792 (3/23/22) Cases/today/Infection Rate: 79,915,649/41,026/0.05% - Mortality/Today/Rate: 977,386/1,649/1.22% 
Day: 793 (3/24/22) Cases/today/Infection Rate: 79,958,655/43,006/0.05% - Mortality/Today/Rate: 978,250/864/1.22% 
Day: 794 (3/25/22) Cases/today/Infection Rate: 80,005,107/46,452/0.06% - Mortality/Today/Rate: 978,873/623/1.22% 
Day: 795 (3/26/22) Cases/today/Infection Rate: 80,014,541/9,434/0.01% - Mortality/Today/Rate: 979,024/151/1.22% 
Day: 796 (3/27/22) Cases/today/Infection Rate: 80,026,331/11,790/0.01% - Mortality/Today/Rate: 979,084/60/1.22% 
Day: 797 (3/28/22) Cases/today/Infection Rate: 80,065,331/39,000/0.05% - Mortality/Today/Rate: 980,116/1,032/1.22% 
Day: 798 (3/29/22) Cases/today/Infection Rate: 80,089,520/24,189/0.03% - Mortality/Today/Rate: 981,102/986/1.23% 
Day: 799 (3/30/22) Cases/today/Infection Rate: 80,128,718/39,198/0.05% - Mortality/Today/Rate: 982,270/1,168/1.23% 
Day: 800 (3/31/22) Cases/today/Infection Rate: 80,174,387/45,669/0.06% - Mortality/Today/Rate: 982,791/521/1.23% 
Day: 801 (4/1/22) Cases/today/Infection Rate: 80,206,622/32,235/0.04% - Mortality/Today/Rate: 983,625/834/1.23% 
Day: 802 (4/2/22) Cases/today/Infection Rate: 80,218,423/11,801/0.01% - Mortality/Today/Rate: 983,783/158/1.23% 
Day: 803 (4/3/22) Cases/today/Infection Rate: 80,223,178/4,755/0.01% - Mortality/Today/Rate: 983,843/60/1.23% 
Day: 804 (4/4/22) Cases/today/Infection Rate: 80,252,129/28,951/0.04% - Mortality/Today/Rate: 984,433/590/1.23% 
Day: 805 (4/5/22) Cases/today/Infection Rate: 80,277,798/25,669/0.03% - Mortality/Today/Rate: 984,947/514/1.23% 
Day: 806 (4/6/22) Cases/today/Infection Rate: 80,318,778/40,980/0.05% - Mortality/Today/Rate: 986,075/1,128/1.23% 
Day: 807 (4/7/22) Cases/today/Infection Rate: 80,369,434/50,656/0.06% - Mortality/Today/Rate: 986,904/829/1.23% 
Day: 808 (4/8/22) Cases/today/Infection Rate: 80,444,487/75,053/0.09% - Mortality/Today/Rate: 987,547/643/1.23% 
Day: 809 (4/9/22) Cases/today/Infection Rate: 80,457,206/12,719/0.02% - Mortality/Today/Rate: 987,692/145/1.23% 
Day: 810 (4/10/22) Cases/today/Infection Rate: 80,466,740/9,534/0.01% - Mortality/Today/Rate: 987,718/26/1.23% 
Day: 811 (4/11/22) Cases/today/Infection Rate: 80,507,126/40,386/0.05% - Mortality/Today/Rate: 988,056/338/1.23% 
Day: 812 (4/12/22) Cases/today/Infection Rate: 80,542,904/35,778/0.04% - Mortality/Today/Rate: 988,672/616/1.23% 
Day: 813 (4/13/22) Cases/today/Infection Rate: 80,598,345/55,441/0.07% - Mortality/Today/Rate: 989,622/950/1.23% 
Day: 814 (4/14/22) Cases/today/Infection Rate: 80,649,077/50,732/0.06% - Mortality/Today/Rate: 990,327/705/1.23% 
Day: 815 (4/15/22) Cases/today/Infection Rate: 80,684,528/35,451/0.04% - Mortality/Today/Rate: 990,789/462/1.23% 
Day: 816 (4/16/22) Cases/today/Infection Rate: 80,696,872/12,344/0.02% - Mortality/Today/Rate: 990,843/54/1.23% 
Day: 817 (4/17/22) Cases/today/Infection Rate: 80,704,379/7,507/0.01% - Mortality/Today/Rate: 990,854/11/1.23% 
Day: 818 (4/18/22) Cases/today/Infection Rate: 80,765,876/61,497/0.08% - Mortality/Today/Rate: 991,115/261/1.23% 
Day: 819 (4/19/22) Cases/today/Infection Rate: 80,805,187/39,311/0.05% - Mortality/Today/Rate: 991,559/444/1.23% 
Day: 820 (4/20/22) Cases/today/Infection Rate: 80,874,174/68,987/0.09% - Mortality/Today/Rate: 992,456/897/1.23% 
Day: 821 (4/21/22) Cases/today/Infection Rate: 80,935,931/61,757/0.08% - Mortality/Today/Rate: 992,886/430/1.23% 
Day: 822 (4/22/22) Cases/today/Infection Rate: 81,026,026/90,095/0.11% - Mortality/Today/Rate: 993,445/559/1.23% 
Day: 823 (4/23/22) Cases/today/Infection Rate: 81,045,774/19,748/0.02% - Mortality/Today/Rate: 993,496/51/1.23% 
Day: 824 (4/24/22) Cases/today/Infection Rate: 81,059,280/13,506/0.02% - Mortality/Today/Rate: 993,527/31/1.23% 
Day: 825 (4/25/22) Cases/today/Infection Rate: 81,129,586/70,306/0.09% - Mortality/Today/Rate: 993,815/288/1.22% 
Day: 826 (4/26/22) Cases/today/Infection Rate: 81,175,007/45,421/0.06% - Mortality/Today/Rate: 994,145/330/1.22% 
Day: 827 (4/27/22) Cases/today/Infection Rate: 81,265,097/90,090/0.11% - Mortality/Today/Rate: 994,949/804/1.22% 
Day: 828 (4/28/22) Cases/today/Infection Rate: 81,342,523/77,426/0.10% - Mortality/Today/Rate: 995,359/410/1.22% 
Day: 829 (4/29/22) Cases/today/Infection Rate: 81,403,800/61,277/0.08% - Mortality/Today/Rate: 995,789/430/1.22% 
